Lindenwood Lions,Lindenwood,Adidas,,SIUE,,
Little Rock Trojans,Little Rock,Nike,,Elon,UA,
Longwood Lancers,Longwood,Adidas,,ETSU,,
Louisiana Tech Bulldogs and Lady TechSters,Louisiana Tech,Adidas,,Evansville,,
Louisiana-Lafayette Ragin' Cajuns,Louisiana-Lafayette,Adidas,,F Dickinson,,
Louisiana-Monroe Warhawks,Louisiana-Monroe,Adidas,,Fairfield,,
Louisville Cardinals,Louisville,Adidas,,FL Atlantic,,
Loyola Greyhounds,Loyola,UA,,FL Gulf Coast,,
LSU Tigers and Lady Tigers,LSU,Nike,,Florida,Nike,
Lyndon St Hornets,Lyndon St,Adidas,,Florida A&M,,
Maine Black Bears,Maine Black,Adidas,,Florida Intl,,
Manhattan Jaspers,Manhattan,UA,,Florida St,Nike,
Marshall Thundering Herd,Marshall,Nike,,Fordham,,
Maryland Terrapins,Maryland,UA,,Fresno St,Nike,
Memphis Tigers,Memphis,Nike,,Furman,,
Mercer Bears,Mercer,Adidas,,G Washington,,
Miami Hurricanes,Miami,Adidas,,Ga Southern,,
Miami (OH) RedHawks,Miami (OH),Adidas,,Gardner Webb,,
Michigan Wolverines,Michigan,Nike,,George Mason,Adidas,
Michigan St Spartans,Michigan St,Nike,,Georgetown,,
Milwaukee Panthers,Milwaukee,Adidas,,Georgia,Nike,
Minnesota Golden Gophers,Minnesota,Nike,,Georgia St,UA,
Mississippi St Bulldogs,Mississippi St,Adidas,,Georgia Tech,,
Missouri Tigers,Missouri,Nike,,Gonzaga,Nike,
Missouri St Bears and Lady Bears,Missouri St,Adidas,,Grambling,,
Montana Grizzlies,Montana,Nike,,Grand Canyon,Nike,
Montana St Bobcats,Montana St,UA,,Hampton,,
Morehead St Eagles,Morehead St,UA,,Hardin-Simmons,,
Morgan St Bears,Morgan St,Adidas,,Hartford,UA,
Mount Olive Trojans,Mount Olive,Adidas,,Harvard,,
Mount St. Mary's Mountaineers,Mount St. Mary's,UA,,Hawaii,UA,
Navy Midshipmen,Navy,UA,,High Point,Adidas,
NC St Wolfpack,NC St,Adidas,,Hofstra,,
Nebraska Cornhuskers,Nebraska,Adidas,,Holy Cross,Adidas,
Nevada Wolf Pack,Nevada,Nike,,Houston,Nike,
New Mexico St Aggies,New Mexico St,UA,,Houston Bap,,
Newberry Wolves,Newberry,Adidas,,Howard,,
Nicholls St Colonels,Nicholls St,Adidas,,Idaho,Nike,
NJIT Highlanders,NJIT,Adidas,,Idaho St,,
North Carolina Tar Heels,North Carolina,Nike,,IL Chicago,,
Northern Illinois Huskies,Northern Illinois,Adidas,,Illinois,Nike,
Northern Iowa Panthers,Northern Iowa,Nike,,Illinois St,Nike,
Northern Kentucky Norse,Northern Kentucky,Adidas,,Incarnate Word,,
NorthweSt Missouri St Bearcats,NorthweSt Missouri St,Adidas,,Indiana,Adidas,
NorthweStern Wildcats,NorthweStern,UA,,Indiana St,,
Notre Dame Fighting Irish,Notre Dame,UA,,Iona,Adidas,
Occidental Tigers,Occidental,Adidas,,Iowa,Nike,
Ohio St Buckeyes,Ohio St,Nike,,Iowa St,Nike,
Ohio University Bobcats,Ohio University,Adidas,,PFW,,
Oklahoma Sooners,Oklahoma,Nike,,IUPUI,,
Oklahoma St Cowboys and Cowgirls,Oklahoma St,Nike,,Jackson St,,
Old Dominion Monarchs and Lady Monarchs,Old Dominion,UA,,Jacksonville,,
Ole Miss Rebels,Ole Miss,Nike,,Jacksonville St,Adidas,
Omaha Mavericks,Omaha,Adidas,,James Madison,Nike,
Oregon Ducks,Oregon,Nike,,Kansas,Adidas,
Oregon St Beavers,Oregon St,Nike,,Kansas St,Nike,
Penn St Nittany Lions,Penn St,Nike,,Kennesaw,,
Pitt Panthers,Pitt,Nike,,Kent,,
Portland St Vikings,Portland St,Nike,,Kentucky,Nike,
Presbyterian Blue Hose,Presbyterian,Adidas,,La Salle,UA,
Providence Friars,Providence,Nike,,Lafayette,,
Purdue Boilermakers,Purdue,Nike,,Lamar,,
Quinnipiac Bobcats,Quinnipiac,Adidas,,Lehigh,,
Redlands Bulldogs,Redlands,Nike,,Liberty,,
Rhode Island Rams,Rhode Island,Adidas,,Lipscomb,,
Rice Owls,Rice,Adidas,,Long Beach St,,
Rider Broncs,Rider,Adidas,,LIU Brooklyn,,
Rutgers Scarlet Knights,Rutgers Scarlet,Adidas,,Longwood,Adidas,
Sacramento St Hornets,Sacramento St,Adidas,,Louisiana Tech,Adidas,
Sacred Heart Pioneers,Sacred Heart,Adidas,,Louisville,Adidas,
Saint Francis Red Flash,Saint Francis,UA,,Loy Marymount,,
Saint Mary's College Gaels,Saint Mary's College,UA,,Loyola MD,,
San Diego Toreros,San Diego,Nike,,Loyola-Chicago,,
San Diego St Aztecs,San Diego St,Nike,,LSU,Nike,
San Francisco Dons,San Francisco,Nike,,MA Lowell,,
San Jose St University Spartans,San Jose St University,Adidas,,Maine,,
Seton Hall Pirates,Seton Hall,UA,,Manhattan,UA,
SIU Edwardsville Cougars,SIU Edwardsville,Adidas,,Marist,,
South Carolina Gamecocks,South Carolina,UA,,Marquette,,
South Dakota Coyotes,South Dakota,Adidas,,Marshall,Nike,
South Dakota St Jackrabbits,South Dakota St,UA,,Maryland,UA,
South Florida Bulls,South Florida,UA,,Massachusetts,,
SoutheaStern Louisiana Lions,SoutheaStern Louisiana,Adidas,,McNeese St,,
Southern Illinois Salukis,Southern Illinois,UA,,MD E Shore,,
SMU MuStangs,Southern MethodiSt University,Nike,,Memphis,Nike,
Southern Miss Golden Eagles,Southern Miss,Nike,,Mercer,Adidas,
Southern Utah Thunderbirds,Southern Utah,Adidas,,Miami FL,,
St. Bonaventure Bonnies,St. Bonaventure,Adidas,,Miami OH,,
St. John's Red Storm,St. John's,UA,,Michigan,Nike,
Stanford Cardinal,Stanford,Nike,,Michigan St,Nike,
Stephen F. AuStin Lumberjacks and Ladyjacks,Stephen F. AuStin,UA,,Minnesota,Nike,
Syracuse Orange,Syracuse,Nike,,Mississippi,,
Temple Owls,Temple,UA,,Mississippi St,Adidas,
Tennessee Volunteers,Tennessee,Nike,,Missouri,Nike,
Texas Longhorns,Texas,Nike,,Missouri KC,,
Texas A&M Aggies,Texas A&M,Adidas,,Missouri St,Adidas,
Texas A&M-Commerce Lions,Texas A&M-Commerce,UA,,Monmouth NJ,,
Texas A&M-Corpus ChriSti Islanders,Texas A&M-Corpus ChriSti,Adidas,,Montana,Nike,
TCU Horned Frogs,Texas ChriStian University,Nike,,Montana St,UA,
Texas St Bobcats,Texas St,Adidas,,Morehead St,UA,
Texas Tech Red Raiders and Lady Raiders,Texas Tech,UA,,Morgan St,Adidas,
Texas-Arlington Mavericks,Texas-Arlington,Adidas,,Morris Brown,,
Texas–Rio Grande Valley Vaqueros,Texas–Rio Grande Valley,Adidas,,MS Valley St,,
The Citadel Bulldogs,The Citadel,Adidas,,Mt St Mary's,,
Toledo Rockets,Toledo,Nike,,MTSU,,
Towson Tigers,Towson,UA,,Murray St,,
Troy Trojans,Troy,Adidas,,N Colorado,,
Tulsa Golden Hurricane,Tulsa Golden,Adidas,,N Dakota St,,
